JobTitle,Company,Location,PostDate,Current Date,Summary,Salary,JobURL
"Associate, International Strategy and Operations",Indeed,"Hyderabad, Telangana",30+ days ago,15-10-2021,The Strategy & Operations team sits within finance and works to help the organization set the right vision & strategy for each market & align stakeholders to…,"₹13,60,000 - ₹19,90,000 a year",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJBO_rx4KHmXKNMEaxjtO12lnTQ6m01j_7o1fJ8IM0jnYIxKsacZpzZQPssPiik5io9Yfy5HhAheUHzg6brAJ1KkWTk3zUI7QsK133Kkch5qZQqNdog-8s2Z31H1-gcJzEUI9qExFLQirNXeUBEA9Lk-Hw38uttIVf-LmFHn77eNEFUTD4bei7GCd50EPSqpIZXSU_5GH0ImwYkZcSbaPmGmO-OU-xs5N_rQ65aEMCPgFj3xkauP8ALaP1cu6FcmJCKF_uwReO6UPMKIKKEyISg4_skVRn_pNJdpnbxX9HigoJeOfqF8rvNcMXSK9de9WwRhX6R_k8GhNxvONSuAaImevnDONOHSdPYRwRTSZTKBfQ8054vLaRS8dX6lAt9ynqsu0xtVnIcVPGnHfOyH7ezSs8OQmFzkH2u5A_YNBfYltdByPu0pbUcyp9QUlHo0hc_v3S7i6oeQ==&p=0&fvj=0&vjs=3
Software Engineer,Indeed,"Hyderabad, Telangana",30+ days ago,15-10-2021,Every week sees the new release of multiple products that meet the needs of jobseekers worldwide.,"₹21,60,000 - ₹32,40,000 a year",https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG17E2P-q2X1k60bEAGzt_KuzfuRJLzKgmuwOjqBZC2OQs6uIHhUa4VkKCnTk0iCyal47wtIlQPfq_nXjF9n_yVrOzonKTtEj4DhFKDifF7sGbtYKO62psooUejF_DVcqW7wjhM888zNdNI5bVAou7dfr6dXQdvEcd221GL7X5mRrO4aakK9wPOxVEqzywLasv3iV-0q_iV8hHJMQbxHnQGYFAe57iMrG-s99uCOtQt1ePKQAWxCmef7Ev1aF6N4ha7QHmaYFiP5FfQsVrPXzqP9pHv4yo88qFu_u8JA_6xb2KYutzHcku_ahNKYfHBep2CxIJAwG5LHnSJE6cLTiUHfJ6U_4RLgJNFUKA4jKlrcI6T293ma0TFICxByGgsrZoHZgNpMDFh4h-UcdPX9Tndsc0v5mIr6kNrpgv6SCHYYwCRG0nfDOpYMYslXv9EUv_Fl1gM5VEeQL9q5wi0zwnul5dUnKcT0U1Xh18tl7CoRfg==&p=1&fvj=0&vjs=3
UX Developer Intern,Indeed,"Hyderabad, Telangana",6 days ago,15-10-2021,"UX Developers work with a cross-functional team to build accessible user interfaces for our products; create fast, scalable, maintainable, and secure systems;…",,https://in.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DWhcgmADz_twSLwem2iYl2ct_LZF9UYK3pCI3i-FPPnqqtU4kkHUEqIz-u3u4oWG0cacOupj0y4t4YMMvWWh0KfevrKHO1uBLexix-hgYZd1HikrqwRSm71fH-G2kNVQZb6H-lSeWst2YsMyEsVr5VobuZd576gH_iCXOj9J5i--phcRD2un7uVYuUeuFpga8397D_yRUs99kSAj4OK5_h6AX4e4seMNrr_vAI0NU4zwDIbEWbJL53cYtx9WZD4w_thih3me-mfjXiySKaheWhnC3bpL6vhrYFzxosfpfO6Z_jzgiSuhTpt6IVb_ZIMyyNosuxf8tX8lsbDdHlRzWJ6E2vr-lsHWH9zYrJMSKCg_XCv10s0daRt3hrsF9QcXRHIUiYBK2V1Fu04Q8axx3484w9QYTXx3cWMYm3ezddr0ZRhEn2atVyIWs5TUtj8J87pG4kMq-ZGdqL0VttfgLoXnsCCVV9wPihG8noxQp56Ez8Y8WvZnRWQlzqKCbCDEIaqEEbhUn9yVKlBk4qXdizTEkBAivWCvNkVmC9sqXwtg==&p=2&fvj=0&vjs=3
Python Developer,Vouchpro Services Private Limited,"Hyderabad, Telangana",2 days ago,15-10-2021,People looking for WFH need not apply.*.,"₹15,000 a month",https://in.indeed.com/company/Vouchpro-Services-Private-Limited/jobs/Python-Developer-b5ce322b58ea0c64?fccid=9e4b64186df10fc5&vjs=3
"Hiring||Odoo/Python Freshers/Jr Resources||Sailotech Pvt Ltd,Hyderabad",Sailotech,"Hyderabad, Telangana",8 days ago,15-10-2021,Skills Python is a must.,,https://in.indeed.com/rc/clk?jk=cc63c58613685e02&fccid=676538bff8d017f5&vjs=3
Python Developer,Achala IT solutions,"Hyderabad, Telangana",2 days ago,15-10-2021,3-5 years of Python working experience.,"₹8,00,000 - ₹10,00,000 a year",https://in.indeed.com/company/Achala-IT-solutions/jobs/Python-Developer-4565887619e3b70b?fccid=1cbce5bb04c95a26&vjs=3
Python Developer | 4 to 12 years | Hyderabad / Pune / Chennai,Capgemini,"Hyderabad, Telangana",30+ days ago,15-10-2021,"Experience in Python, with knowledge of at least one Python web framework, such as Django, Flask, etc depending on your technology stack.",,https://in.indeed.com/rc/clk?jk=02ae5ed53833994c&fccid=105ecfd0283f415f&vjs=3
Trained Python Fresher,CarbyneTech India Pvt Ltd,"Hyderabad, Telangana•Temporarily Remote",13 days ago,15-10-2021,2)Knowledge on Django and OOPs concept.,,https://in.indeed.com/company/CarbyneTech-India-Pvt-Ltd/jobs/Trained-Python-Fresher-b96148ff25dc898e?fccid=2927d63fa125998f&vjs=3
python resources,Globex Digital Solutions,"Hyderabad, Telangana",30+ days ago,15-10-2021,Design multi-tenant Microservice architecture.,"₹7,50,000 - ₹12,00,000 a year",https://in.indeed.com/rc/clk?jk=741d7923fdccafcb&fccid=787c9aafcfc53d14&vjs=3
Backend Developer - Python/ Flask/ REST API,FIMO Technologies and Services Private Limited,"Hyderabad, Telangana•Remote",30+ days ago,15-10-2021,Must have experience with Python and Django/ Flask framework.,"₹15,000 - ₹25,000 a month",https://in.indeed.com/company/FIMO-Technologies-and-Services-Private-Limited/jobs/Backend-Developer-027fc387b4959ebe?fccid=ba84147d1a5e5469&vjs=3
Python Developer,Talos Global,"Hyderabad, Telangana•Remote",2 days ago,15-10-2021,"An experienced Pyspark, Python Developer.","₹15,00,000 - ₹25,00,000 a year",https://in.indeed.com/company/Talos-Global/jobs/Python-Developer-73fb0a25aa65bdc9?fccid=afa08616b8f06182&vjs=3
Python Expert,WAVELABS TECHNOLOGIES,"Hyderabad, Telangana",7 days ago,15-10-2021,Experience coding in Python(Expert) - app servers like django/flask etc.,,https://in.indeed.com/rc/clk?jk=555d9f8ebdefbff8&fccid=03b99c5308afc4a9&vjs=3
Full Stack Trainee,Agrometrics Analytics & Technology Private Limited,"Hyderabad, Telangana•Temporarily Remote",1 day ago,15-10-2021,"As Full Stack Software trainee, you need to be passionate about tackling complex challenges faced by product development organizations.","₹20,000 a month",https://in.indeed.com/company/Agrometrics-Analytics-&-Technology-Private-Limited/jobs/Full-Stack-Trainee-f3e743010868ffe9?fccid=f9946f5d9c87e67d&vjs=3
Data Analytics Intern For Freshers,skilora,"Hyderabad, Telangana",27 days ago,15-10-2021,Python Artificial Intelligence (AI) Machine Learning (ML) communication skills Multi-Tasking Problem Solving Analytical Interpersonal skills Analysis Data…,,https://in.indeed.com/rc/clk?jk=446d195d00f9f2d0&fccid=f74c40d50fb54046&vjs=3
Python Developer,Princeton IT Services,"Hyderabad, Telangana•Temporarily Remote",3 days ago,15-10-2021,Work on large data sets and interpret meaningful inferences .,"₹12,681 - ₹60,717 a month",https://in.indeed.com/company/Princeton-IT-Services/jobs/Python-Developer-b754b86c6ca6bce2?fccid=cff283327e292f0b&vjs=3
Python Developer,Grid Logic Software Private Limited,"Hyderabad, Telangana",3 days ago,15-10-2021,XML parsing and generation using python.,,https://in.indeed.com/rc/clk?jk=5e4e41dbb767adab&fccid=3fe48533ae9fe92d&vjs=3
Applications Support,"JPMorgan Chase Bank, N.A.","Hyderabad, Telangana",2 days ago,15-10-2021,"The CTC Production Support team is seeking a systems administrator that combines both software and systems administration to operate and manage large-scale,…",,https://in.indeed.com/rc/clk?jk=9def03a57becaa1e&fccid=aaf3b433897ea465&vjs=3
Python Developer | Hyderabad,Buzzworks,"Hyderabad, Telangana•Remote",30+ days ago,15-10-2021,Web Server Scripting Language: Python (Django).,,https://in.indeed.com/rc/clk?jk=bcb914e2f51879f4&fccid=a1ddb66d2d7c22af&vjs=3
Python Developer,CarbyneTech India Pvt Ltd,"Hyderabad, Telangana•Temporarily Remote",13 days ago,15-10-2021,2)Knowledge on python programming.,,https://in.indeed.com/company/CarbyneTech-India-Pvt-Ltd/jobs/Python-Developer-4a2d46a081fc6094?fccid=2927d63fa125998f&vjs=3
Python Developer,SAMSHA INFOTECH (IT SERVICES),"Hyderabad, Telangana",21 days ago,15-10-2021,Contract Role: W2 or C2C.,"₹12,545 - ₹60,476 a month",https://in.indeed.com/company/SAMSHA-INFOTECH-(IT-SERVICES)/jobs/Python-Developer-9117dbc5d2fe9af6?fccid=6886b890085283fb&vjs=3
Python Developer,Penn Infotech,"Hyderabad, Telangana",23 days ago,15-10-2021,Developer engineer Experience in : Automation Engineer with Python Framework or equivalent with Good Hands on in Python.,"₹12,539 - ₹60,469 a month",https://in.indeed.com/company/Penn-Infotech/jobs/Python-Developer-db6089fcdf1be101?fccid=b339a60714499930&vjs=3
MIS Executive,A Client of Mauvetix Solutions Pvt Ltd,"Hyderabad, Telangana",10 days ago,15-10-2021, Good knowledge of python pandas and shell scripting is additional advantage.,"₹3,10,636 - ₹6,26,468 a year",https://in.indeed.com/company/A-Client-of-Mauvetix-Solutions-Pvt-Ltd/jobs/Mis-Executive-12c394f75cb19ea6?fccid=8308099308c008bc&vjs=3
Python Developer - ** 30 days joinee only **,IFINTALENT GLOBAL PVT LTD,"Hyderabad, Telangana",17 days ago,15-10-2021,Looking for Python developers with strong oops concepts experience and python libraries with linux / unix experience.,,https://in.indeed.com/rc/clk?jk=bc4d226faeca1f64&fccid=cf053e340d7d60cd&vjs=3
Python Developer,Gathi Analytics,"Hyderabad, Telangana",28 days ago,15-10-2021,"As a Python Developer, your responsibilities include working with distributed data processing, writing and testing code, debugging programs, and integrating…",,https://in.indeed.com/rc/clk?jk=730a35014f69d467&fccid=84e535cd8df3e9ab&vjs=3
Trainee Engineer,Ojas Innovative Technologies,"Hyderabad, Telangana",9 days ago,15-10-2021,1 ) Java/Python/Dot Net/Devops/UI/ Devops/Testing/Angular/Android/React JS Etc….,"₹10,000 - ₹40,000 a month",https://in.indeed.com/company/Ojas-Innovative-Technologies/jobs/Trainee-Engineer-cd7f2c829ec8a2bb?fccid=4781a8149f0ef5f0&vjs=3
Python Backend Developer,Edwisely,"Hyderabad, Telangana•Temporarily Remote",7 days ago,15-10-2021,The individual has to have a genuine passion for technology and enjoy creating products.,,https://in.indeed.com/rc/clk?jk=7c51a1fb3d4e0c52&fccid=7a35eda02da40f8d&vjs=3
Python Developer,Marut Dronetech Private Limited,"Hyderabad, Telangana",1 day ago,15-10-2021,*Writing effective and scalable Python codes for large scale visualization.*.,"₹45,000 - ₹65,000 a month",https://in.indeed.com/company/Marut-Dronetech-Private-Limited/jobs/Python-Developer-ee760725d2ec7f4d?fccid=1d8d1cbe2c0d2c89&vjs=3
Python/Django Developer,Upperthrust Technologies Pvt.Ltd.,"Hyderabad, Telangana•Remote",6 days ago,15-10-2021,Rigorous coding experience in python.,"₹17,00,000 a year",https://in.indeed.com/company/Upperthrust-Technologies-Pvt.Ltd./jobs/Python-Django-Developer-801f9c797384f8f2?fccid=946ec8a84e2c19b9&vjs=3
Requirement for Python,Sage IT India,"Hyderabad, Telangana",30+ days ago,15-10-2021,Writing effective and scalable Python codes.,,https://in.indeed.com/rc/clk?jk=3213576dfd760d92&fccid=e4abde6aba405eb8&vjs=3
"R&D Engineer, Staff",Synopsys,"Hyderabad, Telangana",Just posted,15-10-2021,Opening for 10-12 years’ experience Verification specialist with JD as follows.,,https://in.indeed.com/rc/clk?jk=a9b1dbb042d16f7a&fccid=6ce9eba87609c3e9&vjs=3
